FID,OID_,Name,FolderPath,SymbolID,AltMode,Base,TimeSpan,TimeStamp,BeginTime,EndTime,Snippet,PopupInfo,HasLabel,LabelID,POINT_X,POINT_Y,POINT_Z,POINT_M
21,0,179,GPS1/Waypoints,1,-1,0.000000000000000,0,-1,2017-09-26 22:20:00, , , ,-1,0,-149.825340000000010,-17.486583000000000,0.000000000000000,1.000000000000000
22,0,180,GPS1/Waypoints,1,-1,0.000000000000000,0,-1,2017-09-26 22:21:28, , , ,-1,0,-149.825392999999990,-17.486615000000000,0.000000000000000,1.000000000000000
23,0,057,GPS1/Waypoints,1,-1,0.000000000000000,0,-1,2017-06-27 22:00:38, , , ,-1,0,-149.851912000000000,-17.494547000000001,0.000000000000000,1.000000000000000
24,0,001,GPS1/Waypoints,1,-1,0.000000000000000,0,-1,2017-06-23 01:31:28, , ,LTER1,-1,0,-149.799879000000000,-17.480063999999999,0.000000000000000,1.000000000000000
25,0,002,GPS1/Waypoints,1,-1,0.000000000000000,0,-1,2017-06-25 19:34:44, , , ,-1,0,-149.840287999999990,-17.475435999999998,0.000000000000000,1.000000000000000
26,0,004,GPS1/Waypoints,1,-1,0.000000000000000,0,-1,2017-06-26 01:56:38, , , ,-1,0,-149.802379000000000,-17.476154000000001,0.000000000000000,1.000000000000000
27,0,005,GPS1/Waypoints,1,-1,0.000000000000000,0,-1,2017-06-26 01:57:00, , , ,-1,0,-149.802366000000010,-17.476178000000001,0.000000000000000,1.000000000000000
28,0,006,GPS1/Waypoints,1,-1,0.000000000000000,0,-1,2017-06-26 01:57:26, , , ,-1,0,-149.802404999999990,-17.476232000000000,0.000000000000000,1.000000000000000
29,0,007,GPS1/Waypoints,1,-1,0.000000000000000,0,-1,2017-06-26 01:58:14, , , ,-1,0,-149.802457000000000,-17.476188000000000,0.000000000000000,1.000000000000000
30,0,008,GPS1/Waypoints,1,-1,0.000000000000000,0,-1,2017-06-26 02:06:28, , , ,-1,0,-149.802320000000010,-17.476402000000000,0.000000000000000,1.000000000000000
31,0,009,GPS1/Waypoints,1,-1,0.000000000000000,0,-1,2017-06-26 02:07:55, , , ,-1,0,-149.802367000000000,-17.476561000000000,0.000000000000000,1.000000000000000
32,0,010,GPS1/Waypoints,1,-1,0.000000000000000,0,-1,2017-06-26 02:10:08, , , ,-1,0,-149.802190000000000,-17.476776000000001,0.000000000000000,1.000000000000000
33,0,011,GPS1/Waypoints,1,-1,0.000000000000000,0,-1,2017-06-26 02:12:11, , , ,-1,0,-149.802119000000000,-17.476849999999999,0.000000000000000,1.000000000000000
34,0,012,GPS1/Waypoints,1,-1,0.000000000000000,0,-1,2017-06-26 20:22:22, , , ,-1,0,-149.871783999999990,-17.579915000000000,0.000000000000000,1.000000000000000
35,0,013,GPS1/Waypoints,1,-1,0.000000000000000,0,-1,2017-06-26 20:25:21, , , ,-1,0,-149.871563000000010,-17.580061000000001,0.000000000000000,1.000000000000000
36,0,014,GPS1/Waypoints,1,-1,0.000000000000000,0,-1,2017-06-26 20:27:42, , , ,-1,0,-149.871490999999990,-17.580090999999999,0.000000000000000,1.000000000000000
37,0,015,GPS1/Waypoints,1,-1,0.000000000000000,0,-1,2017-06-26 20:32:51, , , ,-1,0,-149.871701000000000,-17.579867000000000,0.000000000000000,1.000000000000000
38,0,016,GPS1/Waypoints,1,-1,0.000000000000000,0,-1,2017-06-26 20:35:42, , , ,-1,0,-149.871769000000000,-17.579847999999998,0.000000000000000,1.000000000000000
39,0,017,GPS1/Waypoints,1,-1,0.000000000000000,0,-1,2017-06-26 20:42:48, , , ,-1,0,-149.871713000000000,-17.580079000000001,0.000000000000000,1.000000000000000
40,0,018,GPS1/Waypoints,1,-1,0.000000000000000,0,-1,2017-06-26 20:45:18, , , ,-1,0,-149.871823000000010,-17.579751000000002,0.000000000000000,1.000000000000000
41,0,019,GPS1/Waypoints,1,-1,0.000000000000000,0,-1,2017-06-26 20:46:36, , , ,-1,0,-149.871734000000000,-17.579681000000001,0.000000000000000,1.000000000000000
42,0,020,GPS1/Waypoints,1,-1,0.000000000000000,0,-1,2017-06-26 20:49:18, , , ,-1,0,-149.872032999999990,-17.579675999999999,0.000000000000000,1.000000000000000
43,0,021,GPS1/Waypoints,1,-1,0.000000000000000,0,-1,2017-06-26 20:54:20, , , ,-1,0,-149.872026000000010,-17.579661999999999,0.000000000000000,1.000000000000000
44,0,022,GPS1/Waypoints,1,-1,0.000000000000000,0,-1,2017-06-26 20:54:29, , , ,-1,0,-149.872018999999990,-17.579657000000001,0.000000000000000,1.000000000000000
45,0,023,GPS1/Waypoints,1,-1,0.000000000000000,0,-1,2017-06-26 21:38:40, , , ,-1,0,-149.863945000000000,-17.578417000000002,0.000000000000000,1.000000000000000
46,0,024,GPS1/Waypoints,1,-1,0.000000000000000,0,-1,2017-06-26 21:38:43, , , ,-1,0,-149.863943000000010,-17.578419000000000,0.000000000000000,1.000000000000000
47,0,025,GPS1/Waypoints,1,-1,0.000000000000000,0,-1,2017-06-26 21:38:47, , , ,-1,0,-149.863944000000000,-17.578413999999999,0.000000000000000,1.000000000000000
48,0,026,GPS1/Waypoints,1,-1,0.000000000000000,0,-1,2017-06-26 21:41:06, , , ,-1,0,-149.864002000000000,-17.578443000000000,0.000000000000000,1.000000000000000
49,0,027,GPS1/Waypoints,1,-1,0.000000000000000,0,-1,2017-06-26 21:45:40, , , ,-1,0,-149.864494000000010,-17.579037000000000,0.000000000000000,1.000000000000000
50,0,028,GPS1/Waypoints,1,-1,0.000000000000000,0,-1,2017-06-26 21:48:31, , , ,-1,0,-149.864518000000000,-17.579018999999999,0.000000000000000,1.000000000000000
51,0,029,GPS1/Waypoints,1,-1,0.000000000000000,0,-1,2017-06-26 21:49:32, , , ,-1,0,-149.864594000000010,-17.579066999999998,0.000000000000000,1.000000000000000
52,0,030,GPS1/Waypoints,1,-1,0.000000000000000,0,-1,2017-06-26 21:52:06, , , ,-1,0,-149.864667000000000,-17.579082000000000,0.000000000000000,1.000000000000000
53,0,031,GPS1/Waypoints,1,-1,0.000000000000000,0,-1,2017-06-26 21:53:52, , , ,-1,0,-149.864555999999990,-17.579153000000002,0.000000000000000,1.000000000000000
54,0,032,GPS1/Waypoints,1,-1,0.000000000000000,0,-1,2017-06-26 22:52:42, , , ,-1,0,-149.896988999999990,-17.543023000000002,0.000000000000000,1.000000000000000
55,0,033,GPS1/Waypoints,1,-1,0.000000000000000,0,-1,2017-06-26 22:53:53, , , ,-1,0,-149.896999999999990,-17.542929999999998,0.000000000000000,1.000000000000000
56,0,034,GPS1/Waypoints,1,-1,0.000000000000000,0,-1,2017-06-26 22:55:28, , , ,-1,0,-149.896901000000010,-17.542919999999999,0.000000000000000,1.000000000000000
57,0,035,GPS1/Waypoints,1,-1,0.000000000000000,0,-1,2017-06-26 22:58:29, , , ,-1,0,-149.897197000000010,-17.542988999999999,0.000000000000000,1.000000000000000
58,0,036,GPS1/Waypoints,1,-1,0.000000000000000,0,-1,2017-06-26 22:59:14, , , ,-1,0,-149.897245000000000,-17.543004000000000,0.000000000000000,1.000000000000000
59,0,037,GPS1/Waypoints,1,-1,0.000000000000000,0,-1,2017-06-26 23:00:13, , , ,-1,0,-149.897316999999990,-17.543005000000001,0.000000000000000,1.000000000000000
60,0,038,GPS1/Waypoints,1,-1,0.000000000000000,0,-1,2017-06-26 23:03:09, , , ,-1,0,-149.897705000000000,-17.542901000000001,0.000000000000000,1.000000000000000
61,0,039,GPS1/Waypoints,1,-1,0.000000000000000,0,-1,2017-06-26 23:07:45, , , ,-1,0,-149.897450999999990,-17.542952000000000,0.000000000000000,1.000000000000000
62,0,040,GPS1/Waypoints,1,-1,0.000000000000000,0,-1,2017-06-26 23:37:38, , , ,-1,0,-149.902055999999990,-17.545468000000000,0.000000000000000,1.000000000000000
63,0,041,GPS1/Waypoints,1,-1,0.000000000000000,0,-1,2017-06-26 23:41:26, , , ,-1,0,-149.901984000000000,-17.545549000000001,0.000000000000000,1.000000000000000
64,0,042,GPS1/Waypoints,1,-1,0.000000000000000,0,-1,2017-06-26 23:43:14, , , ,-1,0,-149.901848000000000,-17.545570000000001,0.000000000000000,1.000000000000000
65,0,043,GPS1/Waypoints,1,-1,0.000000000000000,0,-1,2017-06-26 23:46:04, , , ,-1,0,-149.901742000000010,-17.545444000000000,0.000000000000000,1.000000000000000
66,0,044,GPS1/Waypoints,1,-1,0.000000000000000,0,-1,2017-06-26 23:48:28, , , ,-1,0,-149.901714000000000,-17.545224000000001,0.000000000000000,1.000000000000000
67,0,045,GPS1/Waypoints,1,-1,0.000000000000000,0,-1,2017-06-26 23:51:31, , , ,-1,0,-149.901610000000010,-17.545161000000000,0.000000000000000,1.000000000000000
68,0,046,GPS1/Waypoints,1,-1,0.000000000000000,0,-1,2017-06-26 23:55:54, , , ,-1,0,-149.901830999999990,-17.545211999999999,0.000000000000000,1.000000000000000
69,0,047,GPS1/Waypoints,1,-1,0.000000000000000,0,-1,2017-06-27 00:00:14, , , ,-1,0,-149.902199999999990,-17.545317000000001,0.000000000000000,1.000000000000000
70,0,048,GPS1/Waypoints,1,-1,0.000000000000000,0,-1,2017-06-27 01:24:20, , , ,-1,0,-149.921270999999990,-17.521024000000001,0.000000000000000,1.000000000000000
71,0,049,GPS1/Waypoints,1,-1,0.000000000000000,0,-1,2017-06-27 01:26:45, , , ,-1,0,-149.921271999999990,-17.521100000000001,0.000000000000000,1.000000000000000
72,0,050,GPS1/Waypoints,1,-1,0.000000000000000,0,-1,2017-06-27 01:27:47, , , ,-1,0,-149.921370000000000,-17.521191999999999,0.000000000000000,1.000000000000000
73,0,051,GPS1/Waypoints,1,-1,0.000000000000000,0,-1,2017-06-27 01:29:43, , , ,-1,0,-149.921400000000010,-17.521336999999999,0.000000000000000,1.000000000000000
74,0,052,GPS1/Waypoints,1,-1,0.000000000000000,0,-1,2017-06-27 01:30:50, , , ,-1,0,-149.921377000000010,-17.521386000000000,0.000000000000000,1.000000000000000
75,0,053,GPS1/Waypoints,1,-1,0.000000000000000,0,-1,2017-06-27 01:32:24, , , ,-1,0,-149.921439999999990,-17.521460999999999,0.000000000000000,1.000000000000000
76,0,054,GPS1/Waypoints,1,-1,0.000000000000000,0,-1,2017-06-27 01:34:53, , , ,-1,0,-149.921415000000000,-17.521540999999999,0.000000000000000,1.000000000000000
77,0,055,GPS1/Waypoints,1,-1,0.000000000000000,0,-1,2017-06-27 01:36:03, , , ,-1,0,-149.921473999999990,-17.521550000000001,0.000000000000000,1.000000000000000
